Title,Year,Languages,Suggestion ID,Suggestions
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,"English, Hindi",81165134,"81416258, 80157091, 80991034, 81199145, 81198904, 80200573, 80015343, 81696507, 81231974, 81055822, 80216309, 70123542"
Revenge,2018,English,80209746,"81000511, 81458368, 81572011, 80993017, 81058695, 80216200, 70142823, 81488967, 60022700, 80236341, 81449034, 81011211"
Prey,2021,"Czech, German, English, Spanish, Spanish, French, Hungarian, Italian, Polish, Portuguese, Turkish",81350329,"81210788, 81449034, 81629411, 80198478, 80209746, 60022700, 60001220, 81028990, 81128579, 81170838, 81232463, 80245041"
Awake,2021,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Thai, Turkish, Ukrainian",81040362,"81449034, 81038410, 80196789, 80167481, 81404810, 60022700, 81252357, 81210788, 81314956, 60001220, 81157374, 80236421"
Bird Box,2018,"German, English, Spanish, Spanish, French, Italian, Japanese, Polish, Portuguese, Russian, Turkish, Ukrainian",80196789,"81404810, 81021447, 81449034, 80213226, 81157374, 60022700, 81128579, 81040362, 80100649, 81345798, 81619948, 81210788"
Society of the Snow,2024,"Czech, German, English, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Tamil, Telugu, Thai, Turkish, Ukrainian",81268316,"80046309, 81449034, 81115160, 81054619, 81435414, 81010969, 81517155, 81564732, 70305903, 81447231, 80048473, 80179070"
Girl from Nowhere,2018,"English, Spanish, Indonesian, Portuguese, Thai",80241947,"81516491, 81640988, 81517155, 81237994, 81519223, 70241118, 80990668, 81011211, 81310261, 80200575, 81342505"
The Walk,2015,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Korean, Polish, Portuguese, Turkish",80048473,"80046309, 80179070, 81054619, 81092221, 80222729, 81664257, 81690671, 80175334, 81115160, 81580682, 70177057, 80182116"
Broad Peak,2022,"Czech, German, English, Spanish, Spanish, French, Hungarian, Italian, Polish, Portuguese, Turkish",81564732,"80046309, 81268316, 81054619, 81115160, 81174182, 80048473, 81435414, 81365134, 80245041, 81318108, 80179070, 81449034"
Chernobyl 1986,2021,"English, Italian, Polish, Russian, Turkish",81435414,"81233755, 81268316, 80046309, 81248111, 81260280, 81690671, 81449034, 80158577, 81115160, 80200047, 70005379, 81054619"
The Swimmers,2022,"Unknown, Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Polish, Portuguese, Thai, Turkish, Ukrainian",81365134,"81054619, 81283585, 81690671, 81447231, 80046309, 81039550, 81115160, 81268316, 80048473, 81260083, 81308434, 81155175"
A Quiet Place,2018,"German, English, Spanish, Spanish, French, Unknown, Hindi, Italian, Japanese, Polish, Portuguese, Russian, Turkish",80213226,"81021447, 80196789, 80100649, 81619948, 81157374, 70251894, 80091246, 81415088, 81240831, 70262639, 81001691, 81034937"
Alive,2020,"English, Spanish, Unknown, Korean, Portuguese, Thai",81240831,"81464329, 81237994, 70262639, 81520295, 81021447, 81046394, 81061734, 70123542, 81194158, 81635888, 80208806, 80198988"
Don't Breathe,2016,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Turkish",80100649,"81415088, 81021447, 81001691, 80213226, 81157374, 81345798, 81034937, 80188939, 81619948, 80196789, 80149258, 81616656"
Blood Red Sky,2021,"Czech, German, English, Spanish, Spanish, French, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Thai, Turkish",80198645,"81021447, 81186049, 81046394, 80208806, 81240831, 80161216, 81464329, 81149049, 81338873, 80198988, 80213226, 81483977"
Cargo,2018,"German, English, Spanish, Spanish, French, Italian, Japanese, Polish, Portuguese, Turkish",80161216,"81021447, 81240831, 80213226, 80198645, 81464329, 80208806, 81046394, 70262639, 80198988, 70123542, 80196789, 81237994"
In the Tall Grass,2019,"German, English, Spanish, Spanish, French, Italian, Japanese, Polish, Portuguese, Thai, Turkish",80237905,"80135164, 81345798, 80217312, 81021447, 81157374, 81034937, 81483977, 80213226, 81616656, 80206910, 80991313, 70251894"
Escape Room,2019,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Turkish",81001691,"81198941, 81345798, 81488262, 80100649, 81157374, 81084263, 70206131, 81616656, 81753224, 80070182, 81415088, 80998510"
Choose or Die,2022,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish, Ukrainian",81488262,"81345798, 80070182, 81128579, 81001691, 80998510, 81198941, 81084263, 60022700, 81478540, 81157374, 80240798, 80100649"
Hostel: Part III,2011,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese",70206131,"81753224, 81345798, 81483977, 70084793, 81149049, 81489841, 81630892, 81198941, 81001691, 81619948, 81084263, 80164456"
Don't Breathe 2,2021,"Bengali, German, English, Spanish, French, Hindi, Italian, Japanese, Kannada, Marathi, Unknown, Punjabi, Polish, Tamil, Telugu, Thai",81415088,"80100649, 81345798, 81021447, 81198941, 80213226, 81157374, 81001691, 70251537, 81483977, 80196789, 81753224, 81630892"
Keep Breathing,2022,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish, Ukrainian",81276119,"81690671, 80993062, 81318108, 80214497, 80046309, 81449034, 81210788, 81166770, 80241318, 81631011, 81233755"
Dog Gone,2023,"Czech, German, English, Spanish, Spanish, Unknown, French, Hindi, Hungarian, Indonesian, Italian, Polish, Portuguese, Thai, Turkish, Ukrainian",81155175,"81107362, 80204923, 81347579, 81023618, 80995799, 81010969, 81191433, 81298682"
The Boy Who Harnessed the Wind,2019,"German, English, Spanish, Spanish, French, Italian, Polish, Portuguese, Turkish",80200047,"81690671, 80044545, 70005379, 81691509, 60000417, 81435227, 81571934, 81039550, 80046309, 81683692, 80993647, 80048473"
Dive Club,2021,"Arabic, Danish, German, Greek, English, Spanish, Spanish, Finnish, French, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Thai, Turkish, Vietnamese, Unknown",81289456,"80220644, 80095435, 80222326, 80223928, 80134695, 81005407, 80230534, 81174879"
Jurassic World Camp Cretaceous: Hidden Adventure,2022,,81108751,"81009646, 81557031, 80023612, 81205737, 81058723, 80994695, 81054409, 80228012, 81301887"
Fast & Furious Spy Racers,2019,"Arabic, Czech, Danish, German, Greek, English, Spanish, Spanish, Finnish, French, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Thai, Turkish, Vietnamese, yue, Unknown",80225085,"81009646, 80241136, 81004665, 70234439, 81566729, 81035568, 80234642, 81557031, 81233669, 80228012"
Dragons: Race to the Edge,2015,"Danish, German, English, Spanish, Spanish, Finnish, French, Hebrew, Indonesian, Italian, Japanese, Korean, Norwegian, Dutch, Polish, Portuguese, Portuguese, Swedish, yue, Unknown",80039394,"70298991, 80075820, 81018682, 81370442, 70113007, 70021636, 81037695, 81555726, 81055026, 70143241, 81557031"
Kong: King of the Apes,2016,"Arabic, Danish, German, Greek, English, Spanish, Spanish, Finnish, French, Hebrew, Hindi, Indonesian, Italian, Japanese, Korean, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Thai, Turkish, Vietnamese, Chinese",80023612,"80057506, 80237245, 81009646, 81108751, 81557031, 80039394, 80225085, 81035568, 81687083"
Ben 10,2005,"English, Hindi",70155571,"70177043, 70155614, 70171947, 70177689, 70241425, 70243420, 70234439, 80103408, 70185194, 81450320"
Puss in Boots: The Last Wish,2022,"Arabic, Czech, English, Spanish, French, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Dutch, Unknown, Romanian, Russian, Thai, Ukrainian, Vietnamese, yue, Chinese",81555726,"80018988, 70298991, 80091938, 70113007, 70143241, 81227574, 80146758, 80217006, 80237245, 70021636, 81073593, 28631029"
Ultraman: Rising,2024,"Arabic, Catalan, Czech, Danish, German, Greek, English, Spanish, Spanish, Basque, Finnish, Filipino (Tagalog), French, Galician, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Unknown, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish",81007144,"80237245, 81004665, 80988892, 81687083, 80228012, 81728020, 80158156, 81557031, 70155571, 70177689, 80217957"
Sonic the Hedgehog,2020,"Czech, Danish, Greek, English, Spanish, Spanish, Finnish, French, Unknown, Hebrew, Hindi, Croatian, Hungarian, isl, Italian, Japanese, Korean, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Chinese, ",80217006,"81294811, 81037695, 81223075, 80011621, 81489833, 70021640, 81555726, 80104199, 81073593"
Bad Dinosaurs,2024,"English, zxx",81301887,"81108751, 81215996, 81154166, 81009646, 80023612, 81669979"
Animals on the Loose: A You vs. Wild Movie,2021,,81205737,"81205738, 81251335, 81108751, 80994695, 81054409, 81058723, 81004016, 80201492, 81019938, 81260654, 81009646"
Woody Woodpecker Goes to Camp,2024,"Arabic, Czech, Danish, German, English, Spanish, Spanish, Finnish, French, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Tamil, Telugu, Thai, Turkish, Ukrainian, Vietnamese",81215996,"80104199, 81165117, 81555726, 80217006, 81073593, 80991404, 70189308, 60022058, 81669979, 70077552, 28631029, 70199841"
LEGO Ninjago: Dragons Rising,2023,"Arabic, bul, Czech, Danish, German, English, Spanish, Spanish, Finnish, French, Hindi, Hungarian, Italian, Japanese, Korean, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Swedish, Turkish, Vietnamese, yue, Chinese, Unknown",81519765,"70252973, 81628818, 81294811, 81586549, 70155571, 81687083, 81068803, 80075820"
Hellboy II: The Golden Army,2008,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Russian, Tamil, Telugu, Turkish",70075481,"60027724, 81057361, 60022643, 60001650, 70217910, 70264797, 60004480, 80025919, 70217912, 80187362, 80106735, 80093133"
The Amazing Spider-Man,2012,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Turkish",70208599,"70293702, 80166369, 70047101, 60027724, 80144309, 80991034, 80081793, 80187362, 80211726, 70264797, 80216309, 81183713"
Spider-Man: Homecoming,2017,"Bengali, German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Kannada, Korean, Malayalam, Polish, Portuguese, Tamil, Telugu, Thai, Turkish",80166369,"81055822, 81465707, 70208599, 80081793, 80991034, 81416258, 70264797, 80144309, 80029196, 80216309, 60027724, 81183713"
The Man from Toronto,2022,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Tamil, Telugu, Thai, Turkish, Ukrainian",81251628,"81446739, 80094318, 81161828, 81161626, 17236928, 80067830, 80232655, 81185548, 81005492, 80013275, 70059988, 70127228"
Me Time,2022,"Czech, German, English, Spanish, Spanish, Unknown, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish, Ukrainian",81161828,"81251628, 80094318, 80067830, 81446739, 81194505, 70127228, 17236928, 81161626, 80013275, 81005492, 80031715, 70059988"
The School for Good and Evil,2022,"Czech, German, English, Spanish, Spanish, Unknown, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Tamil, Telugu, Thai, Turkish, Ukrainian",80218885,"81450775, 80991090, 80220679, 70217912, 81516447, 81231974, 81220825, 80130521, 81156676, 81399299, 81002270, 81335124"
Fantastic Beasts: The Secrets of Dumbledore,2022,"English, Hindi",81516447,"60004480, 70217912, 80991090, 81277950, 80218885, 70213512, 81406219, 70021648, 81267307, 80237957, 81231974, 81220825"
Once Upon a Crime,2023,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish",81450775,"70217912, 80218885, 80991090, 81002270, 60034386, 80220679, 81156676, 81180203, 81220825, 80245601, 81516447, 80242926"
Avatar The Last Airbender,2024,"Arabic, Catalan, Czech, Danish, German, Greek, English, Spanish, Spanish, Basque, Finnish, Filipino (Tagalog), French, Galician, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Swedish, Tamil, Telugu",80237957,"80991090, 80217863, 81516447, 80184682, 81267307, 81004278, 81416258, 81199145, 81696507, 80218885, 80025919, 81465101"
Monster Hunter,2020,"Bengali, English, Spanish, Spanish, French, Hindi, Italian, Kannada, Marathi, Unknown, Punjabi, Polish, Portuguese, Tamil, Telugu, Turkish",80987626,"80991090, 80133543, 80126440, 80093133, 70213512, 81245455, 80106735, 80025919, 70217912, 81346827, 70097578, 80139562"
Fate: The Winx Saga,2021,"Czech, German, English, Spanish, Spanish, Unknown, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish, Ukrainian",80220679,"80218885, 80991090, 80238357, 80084447, 80241239, 80199393, 81516447, 80236319, 81258637, 70217912, 80242724, 81450775"
Dracula Untold,2014,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Tamil, Telugu, Turkish, Ukrainian",70305899,"60034569, 80106735, 328942, 70056440, 80161352, 70019508, 70126979, 81043660, 70217912, 60004480, 70117305, 70075481"
The Great Wall,2016,"English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Russian, Turkish",80133543,"81267307, 80987626, 80025919, 80093133, 70056440, 70208107, 70213512, 80139562, 60027724, 70305899, 70269488, 80179070"
300: Rise of an Empire,2014,"English, Hindi",70269488,"70056440, 80175352, 80025919, 80133543, 60027724, 70208107, 80179070, 81267307, 60022643, 81767635, 70305899, 80093133"
The Magician's Elephant,2023,"Arabic, Catalan, Czech, Danish, German, Greek, English, Spanish, Spanish, Basque, Finnish, Unknown, French, Galician, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Swedish, Tamil, Telugu",80234520,"81018682, 80214236, 81370442, 81050165, 81476885, 80992263, 80237245, 81218917, 81487903, 81153694, 80230507, 81267965"
Benji,2018,"German, English, Spanish, Spanish, French, Croatian, Indonesian, Italian, Japanese, Polish, Portuguese, Turkish, Vietnamese",80204923,"81107362, 81191433, 81040639, 28631029, 81309532, 81488581, 80992263, 80245121, 60022058, 81023618, 81165117"
A Babysitter's Guide to Monster Hunting,2020,"Arabic, Czech, Danish, German, Greek, English, Spanish, Spanish, Finnish, French, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Dutch, Polish, Portuguese, Portuguese, Romanian, Russian, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Chinese",81012821,"81023618, 81220825, 81349232, 81029733, 81329721, 80214792, 80991404, 80992263, 80158156, 81427442, 81180203, 70039180"
Duck Duck Goose,2018,"Danish, English, Spanish, Finnish, French, Norwegian, Dutch, Portuguese, Swedish, Thai, yue, Chinese",80195962,"81381727, 81050165, 81349324, 80245121, 81159137, 81370442, 80161029, 70021636, 81073593, 81354554, 81002813, 80214236"
